air_temp,ghi,azimuth,cloud_opacity,dewpoint_temp,relative_humidity,zenith,period_end,period
8,385,-172,11.4,4.2,78.6,64,2026-02-05T10:15:00Z,PT15M
8,363,-176,17.8,4.2,77.7,63,2026-02-05T10:30:00Z,PT15M
8,302,-180,32,4.4,76.8,63,2026-02-05T10:45:00Z,PT15M
9,256,176,42.4,4.4,75.9,63,2026-02-05T11:00:00Z,PT15M
9,207,172,53.1,4.5,75.4,64,2026-02-05T11:15:00Z,PT15M
9,331,168,23.6,4.4,75.2,64,2026-02-05T11:30:00Z,PT15M
9,352,164,16.8,4.4,75.1,65,2026-02-05T11:45:00Z,PT15M
9,346,161,15.4,4.3,75,65,2026-02-05T12:00:00Z,PT15M
9,332,157,15.3,4.3,74.8,66,2026-02-05T12:15:00Z,PT15M
9,296,153,20.3,4.3,74.5,67,2026-02-05T12:30:00Z,PT15M
9,263,149,24.2,4.3,74.3,69,2026-02-05T12:45:00Z,PT15M
9,247,146,23,4.3,74,70,2026-02-05T13:00:00Z,PT15M
9,230,142,21.2,4.2,74,72,2026-02-05T13:15:00Z,PT15M
9,209,139,19.9,4.2,74.2,73,2026-02-05T13:30:00Z,PT15M
8,185,136,19,4,74.5,75,2026-02-05T13:45:00Z,PT15M
8,155,133,19.8,4,74.7,77,2026-02-05T14:00:00Z,PT15M
8,124,129,21.4,3.8,75.1,79,2026-02-05T14:15:00Z,PT15M
8,94,126,23,3.7,75.7,81,2026-02-05T14:30:00Z,PT15M
7,66,123,24.3,3.5,76.4,83,2026-02-05T14:45:00Z,PT15M
7,41,121,24.5,3.4,77,85,2026-02-05T15:00:00Z,PT15M
7,19,118,24.7,3.2,77.4,87,2026-02-05T15:15:00Z,PT15M
7,3,115,25.1,3.1,77.7,89,2026-02-05T15:30:00Z,PT15M
7,0,112,25.5,3,77.9,92,2026-02-05T15:45:00Z,PT15M
6,0,110,25.9,2.9,78.2,94,2026-02-05T16:00:00Z,PT15M
6,0,107,26.3,2.9,78.9,97,2026-02-05T16:15:00Z,PT15M
6,0,104,26.7,3,80.2,99,2026-02-05T16:30:00Z,PT15M
6,0,102,27.1,3.2,81.5,102,2026-02-05T16:45:00Z,PT15M
6,0,99,27.5,3.3,82.8,104,2026-02-05T17:00:00Z,PT15M
6,0,96,27.5,3.4,83.6,107,2026-02-05T17:15:00Z,PT15M
6,0,94,27.1,3.4,84.1,109,2026-02-05T17:30:00Z,PT15M
6,0,91,26.7,3.5,84.5,112,2026-02-05T17:45:00Z,PT15M
6,0,88,26.3,3.5,84.9,114,2026-02-05T18:00:00Z,PT15M
6,0,85,26.3,3.5,85.4,117,2026-02-05T18:15:00Z,PT15M
6,0,82,26.7,3.5,85.8,119,2026-02-05T18:30:00Z,PT15M
6,0,79,27.1,3.5,86.3,122,2026-02-05T18:45:00Z,PT15M
6,0,76,27.5,3.5,86.7,124,2026-02-05T19:00:00Z,PT15M
5,0,73,27.5,3.5,87.3,127,2026-02-05T19:15:00Z,PT15M
5,0,70,27.1,3.5,87.9,129,2026-02-05T19:30:00Z,PT15M
5,0,66,26.7,3.5,88.5,132,2026-02-05T19:45:00Z,PT15M
5,0,62,26.3,3.5,89.1,134,2026-02-05T20:00:00Z,PT15M
5,0,58,25.9,3.5,89.7,136,2026-02-05T20:15:00Z,PT15M
5,0,54,25.5,3.5,90.3,138,2026-02-05T20:30:00Z,PT15M
5,0,49,25.1,3.6,91,140,2026-02-05T20:45:00Z,PT15M
5,0,45,24.7,3.6,91.6,142,2026-02-05T21:00:00Z,PT15M
5,0,39,24.3,3.6,92.2,144,2026-02-05T21:15:00Z,PT15M
5,0,34,23.8,3.6,92.7,145,2026-02-05T21:30:00Z,PT15M
5,0,28,23.4,3.7,93.1,147,2026-02-05T21:45:00Z,PT15M
5,0,21,23,3.7,93.6,148,2026-02-05T22:00:00Z,PT15M
5,0,15,22.4,3.7,94,149,2026-02-05T22:15:00Z,PT15M
5,0,8,21.6,3.7,94.1,149,2026-02-05T22:30:00Z,PT15M
5,0,1,20.8,3.7,94.3,149,2026-02-05T22:45:00Z,PT15M
5,0,-6,19.9,3.7,94.5,149,2026-02-05T23:00:00Z,PT15M
5,0,-13,19.9,3.7,94.6,149,2026-02-05T23:15:00Z,PT15M
5,0,-20,20.8,3.7,94.8,148,2026-02-05T23:30:00Z,PT15M
4,0,-26,21.6,3.7,95,147,2026-02-05T23:45:00Z,PT15M
4,0,-32,22.4,3.7,95.1,146,2026-02-06,PT15M
4,0,-38,22.6,3.7,95.4,144,2026-02-06T00:15:00Z,PT15M
4,0,-43,22.2,3.7,95.7,143,2026-02-06T00:30:00Z,PT15M
4,0,-48,21.8,3.8,96,141,2026-02-06T00:45:00Z,PT15M
4,0,-53,21.4,3.8,96.4,139,2026-02-06T01:00:00Z,PT15M
4,0,-57,21,3.8,96.6,137,2026-02-06T01:15:00Z,PT15M
4,0,-61,20.6,3.8,96.6,134,2026-02-06T01:30:00Z,PT15M
